t	rho11	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	rho22	
0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	
1.0000000000e+00	9.9993546491e-01	7.8457531047e-05	7.5107096035e-03	7.8457531047e-05	-7.5107096035e-03	6.4535089492e-05	
2.0000000000e+00	9.9976415724e-01	2.7996590875e-04	1.4934836204e-02	2.7996590875e-04	-1.4934836204e-02	2.3584276308e-04	
3.0000000000e+00	9.9948370214e-01	5.9576891152e-04	2.2203159801e-02	5.9576891152e-04	-2.2203159801e-02	5.1629786263e-04	
4.0000000000e+00	9.9909493305e-01	1.0109852533e-03	2.9249116346e-02	1.0109852533e-03	-2.9249116346e-02	9.0506695195e-04	
5.0000000000e+00	9.9860136196e-01	1.5063674776e-03	3.6014244359e-02	1.5063674776e-03	-3.6014244359e-02	1.3986380398e-03	
6.0000000000e+00	9.9800770464e-01	2.0608654779e-03	4.2449338656e-02	2.0608654779e-03	-4.2449338656e-02	1.9922953619e-03	
7.0000000000e+00	9.9731967242e-01	2.6527872084e-03	4.8516001096e-02	2.6527872084e-03	-4.8516001096e-02	2.6803275820e-03	
8.0000000000e+00	9.9654400851e-01	3.2609894459e-03	5.4188874676e-02	3.2609894459e-03	-5.4188874676e-02	3.4559914935e-03	
9.0000000000e+00	9.9568859446e-01	3.8665102040e-03	5.9458777619e-02	3.8665102040e-03	-5.9458777619e-02	4.3114055382e-03	
1.0000000000e+01	9.9476254216e-01	4.4549603475e-03	6.4336781370e-02	4.4549603475e-03	-6.4336781370e-02	5.2374578361e-03	
1.1000000000e+01	9.9375277240e-01	4.9979482965e-03	6.8695080638e-02	4.9979482965e-03	-6.8695080638e-02	6.2472276029e-03	
1.2000000000e+01	9.9268059680e-01	5.4825080060e-03	7.2616887415e-02	5.4825080060e-03	-7.2616887415e-02	7.3194032025e-03	
1.3000000000e+01	9.9156360523e-01	5.9150877460e-03	7.6206724010e-02	5.9150877460e-03	-7.6206724010e-02	8.4363947709e-03	
1.4000000000e+01	9.9039198735e-01	6.2715363744e-03	7.9368329263e-02	6.2715363744e-03	-7.9368329263e-02	9.6080126536e-03	
1.5000000000e+01	9.8916942057e-01	6.5306536679e-03	8.2084944566e-02	6.5306536679e-03	-8.2084944566e-02	1.0830579433e-02	
1.6000000000e+01	9.8791703048e-01	6.7234651992e-03	8.4525605736e-02	6.7234651992e-03	-8.4525605736e-02	1.2082969517e-02	
1.7000000000e+01	9.8663004346e-01	6.8306817986e-03	8.6631754518e-02	6.8306817986e-03	-8.6631754518e-02	1.3369956543e-02	
